Date,Open,High,Low,Close,Volume,Adj Close
2005-07-15,122.790001,123.040001,122.360001,122.839996,56075900,98.594899
2005-07-14,122.980003,123.440002,122.489998,122.910004,63638800,98.651089
2005-07-13,122.269997,122.519997,121.989998,122.43,41182300,98.265824
2005-07-12,121.989998,122.629997,121.639999,122.260002,51871100,98.129379
2005-07-11,121.330002,122.099998,121.309998,121.940002,49688300,97.872538
2005-07-08,119.970001,121.32,119.720001,121.32,64491200,97.374906
2005-07-07,118.290001,119.949997,118.260002,119.949997,103268800,96.275302
2005-07-06,120.389999,120.650002,119.410004,119.480003,52363600,95.898072
2005-07-05,119.25,120.650002,119.190002,120.489998,51549000,96.708723
2005-07-01,119.449997,119.800003,119.209999,119.529999,49737500,95.9382
2005-06-30,120.220001,120.32,118.949997,119.18,62288800,95.657281
2005-06-29,120.370003,120.400002,119.760002,119.830002,42316500,96.178991
2005-06-28,119.400002,120.239998,119.370003,120.150002,41174200,96.435832
2005-06-27,118.970001,119.410004,118.75,119.150002,48183800,95.633203
2005-06-24,119.879997,120.010002,118.839996,118.980003,58572500,95.496758
2005-06-23,121.32,121.599998,119.830002,119.860001,62185600,96.203069
2005-06-22,121.68,121.940002,121.07,121.57,46310100,97.575563
2005-06-21,121.50,121.650002,121.029999,121.470001,39879800,97.495301
2005-06-20,121.080002,121.839996,120.940002,121.400002,41019400,97.439118
2005-06-17,121.540001,121.900002,121.220001,121.360001,51529400,97.407012
2005-06-16,121.059998,121.639999,120.919998,121.400002,46564500,97.047433
2005-06-15,121.160004,121.239998,120.230003,121.089996,53195600,96.799614
2005-06-14,120.449997,121.199997,120.379997,120.860001,33857100,96.615755
2005-06-13,119.940002,121.080002,119.809998,120.580002,49383200,96.391923
2005-06-10,120.559998,120.650002,119.599998,120.199997,36465300,96.088146
2005-06-09,119.739998,120.580002,119.440002,120.480003,56653300,96.311984
2005-06-08,120.43,120.589996,119.669998,119.910004,46881200,95.856325
2005-06-07,120.389999,121.25,120.010002,120.129997,66501300,96.032189
2005-06-06,119.949997,120.199997,119.550003,120.040001,36046400,95.960245
